Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Pirogues observées,Pirogues actives,Coef,Pirogues estimées,Coef2
555,,,,
Effort estimé,,,,
Echantillons couverts,2142,,,
Débarquements prévus,,,,
Taux couverture,,,,
Cpue (kg/jr),31.21717825769909,,,
Caprure (Tonnes),,,,
Estimation max,Capture (Tonnes),Effort (jr),Valeur (.000 f.cfa),
Aviation,1152.1165525426136,4201.059651462554,,274.24427361832784
Libreville,16341.404263261753,28682.07566321921,,569.742736025808
Owendo,158.09275085034014,885.1774891774892,,178.60005793554535
Total,17651.61356665471,33768.312803859255,,522.7271397651047
